Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Registered patients,Value  (Registered patients),Banding Classification  (Registered patients),Electronic prescription service,Value  (Electronic prescription service),Banding Classification  (Electronic prescription service),Weekday evening and weekend appointments offered here or nearby,Value  (Weekday evening and weekend appointments offered here or nearby),Banding Classification  (Weekday evening and weekend appointments offered here or nearby),Online appointment booking,Value  (Online appointment booking),Banding Classification  (Online appointment booking),Order or view repeat prescriptions online,Value  (Order or view repeat prescriptions online),Banding Classification  (Order or view repeat prescriptions online),Car parking (Is there car parking at this organisation?)
The Villa Street Medical Centre,G85632,GPB,47 Villa Street,,,London,Greater London,SE17 2EL,Tel: 02077037393,18 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85632,,,7952 patients,7952,,,Yes,yes,YES Contact practice for appointment availability,YES,,52.28% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,52.28%,yes,52.15% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,52.15%,yes,yes
Penrose Surgery,G85084,GPB,33 Penrose Street,,,London,Greater London,SE17 3DW,Tel: 02077033677,23 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85084,,,9752 patients,9752,,,Yes,yes,YES Contact practice for appointment availability,YES,,30.32% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,30.32%,yes,30.04% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,30.04%,yes,
Covent Garden Medical Centre,E87045,GPB,47 Shorts Gardens,,,London,Greater London,WC2H 9AA,Tel: 02073797209,5 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E87045,,,3822 patients,3822,,,Yes,yes,YES Contact practice for appointment availability,YES,,41.68% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,41.68%,yes,41.68% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,41.68%,yes,yes
The Trafalgar Surgery,G85019,GPB,10 Trafalgar Avenue,,,London,Greater London,SE15 6NR,Tel: 02077039271,4 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85019,,,4340 patients,4340,,,Yes,yes,YES Contact practice for appointment availability,YES,,26.45% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,26.45%,yes,25.90% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,25.90%,yes,
St Peter's Street Medical Practice,F83032,GPB,16 1/2 St. Peter's Street,Islington,,London,Greater London,N1 8JG,Tel: 02072889320,16 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83032,,,12052 patients,12052,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.27% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.27%,yes,3.61% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,3.61%,yes,no
Museum Practice,F83061,GPB,58 Great Russell Street,,,London,Greater London,WC1B 3BA,Tel: 02074052739,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83061,,,5202 patients,5202,,,Yes,yes,YES Contact practice for appointment availability,YES,,43.35% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,43.35%,yes,42.90% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.90%,yes,no
Dr Cecil Skelly,F83034,GPB,287-293 New North Road,,,London,Greater London,N1 7AA,Tel: 02072269090,2 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83034,,,1661 patients,1661,,,Yes,yes,YES Contact practice for appointment availability,YES,,13.62% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.62%,yes,13.56% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.56%,yes,no
Mission Medical Practice,F84016,GPB,208 Cambridge Heath Road,Bethnal Green,,London,Greater London,E2 9LS,Tel: 02089837300,29 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84016,,,11812 patients,11812,,,Yes,yes,YES Contact practice for appointment availability,YES,,29.66% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,29.66%,yes,29.60% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,29.60%,yes,no
Brunswick Medical Centre,F83048,GPB,39 Brunswick Centre,,,London,Greater London,WC1N 1AF,Tel: 02078373057,24 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83048,,,7095 patients,7095,,,Yes,yes,YES Contact practice for appointment availability,YES,,41.84% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,41.84%,yes,41.77% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,41.77%,yes,no
Ritchie Street Group Practice,F83021,GPB,34 Ritchie Street,,,London,Greater London,N1 0DG,Tel: 02078371663,68 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83021,,,18241 patients,18241,,,Yes,yes,YES Contact practice for appointment availability,YES,,44.21% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,44.21%,yes,42.90% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,42.90%,yes,no
Angel Medical Services,Y02914,GPB,34 Ritchie Street,Islington,,London,Greater London,N1 0DG,Tel: 02078371663,4 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=44117,62.5,3.5,N/A - Data not available,,,,No,no,YES Contact practice for appointment availability,YES,,N/A - Data not available,,,N/A - Data not available,,,no
DE BEAUVOIR SURGERY,F84072,GPB,30 Hertford Road,,,London,Greater London,N1 5QT,Tel: 02079233684,18 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84072,,,10987 patients,10987,,,Yes,yes,YES Contact practice for appointment availability,YES,,35.59% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,35.59%,yes,35.48% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,35.48%,yes,no
The Bloomsbury Surgery,F83044,GPB,1 Handel Street,,,London,Greater London,WC1N 1PD,Tel: 02078378559,14 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83044,,,4432 patients,4432,,,Yes,yes,YES Contact practice for appointment availability,YES,,41.58% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,41.58%,yes,37.67% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,37.67%,yes,
The Globe Town Surgery,F84123,GPB,82-86 Roman Road,,,London,Greater London,E2 0PJ,Tel: 02089803023,37 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84123,,,15083 patients,15083,,,Yes,yes,YES Contact practice for appointment availability,YES,,41.12% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,41.12%,yes,41.01% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,41.01%,yes,no
Elizabeth Avenue Group Practice,F83012,GPB,2 Elizabeth Avenue,,,London,Greater London,N1 3BS,Tel: 02072266363,22 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83012,,,7614 patients,7614,,,Yes,yes,YES Contact practice for appointment availability,YES,,36.20% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.20%,yes,36.13% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.13%,yes,yes
Silverlock Medical Centre,G85087,GPB,NEW ADDRESS,2 Verney Way,,London,Greater London,SE16 3HA,Tel: 02072374091,57 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=42591,71.9,4.0,12114 patients,12114,,,Yes,yes,YES Contact practice for appointment availability,YES,,27.27% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.27%,yes,27.08% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.08%,yes,no
Park Medical Centre,G85125,GPB,57 Hawkstone Road,,,London,Greater London,SE16 2PE,Tel: 02072322243,8 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85125,,,6074 patients,6074,,,Yes,yes,YES Contact practice for appointment availability,YES,,57.56% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,57.56%,yes,57.58% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,57.58%,yes,no
Gower Street Practice,F83005,GPB,20 Gower Street,,,London,Greater London,WC1E 6DP,Tel: 02074676800,27 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83005,,,9479 patients,9479,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.39% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.39%,yes,19.39% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.39%,yes,
XX Place Health Centre,F84122,GPB,Alderney Building,Mile End Hospital Site,Bancroft Road,London,Greater London,E1 4DG,Tel: 02071672828,29 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84122,,,15494 patients,15494,,,Yes,yes,YES Contact practice for appointment availability,YES,,56.75% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,56.75%,yes,56.44% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,56.44%,yes,no
LONDON FIELDS MEDICAL CENTRE,F84021,GPB,38-44 Broadway Market,,,London,Greater London,E8 4QJ,Tel: 02079238100,18 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84021,,,10375 patients,10375,,,Yes,yes,YES Contact practice for appointment availability,YES,,28.18% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.18%,yes,21.08% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,21.08%,yes,yes
Soho Centre For Health And Care,E87069,GPB,30 Soho Square,,,London,Greater London,W1D 3QS,Tel: 02034056540,4 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E87069,,,3253 patients,3253,,,Yes,yes,YES Contact practice for appointment availability,YES,,23.93% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,23.93%,yes,23.96% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,23.96%,yes,
Soho Square General Practice,E87714,GPB,First Floor,1 Frith Street,,London,Greater London,W1D 3HZ,Tel: 02034056570,24 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E87714,,,4597 patients,4597,,,Yes,yes,YES Contact practice for appointment availability,YES,,34.03% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,34.03%,yes,33.96% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,33.96%,yes,yes
Westminster School,E87691,GPB,17 Deans Yard,,,London,Greater London,SW1P 3PB,Tel: 020 75892478,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=141747,0,0,243 patients,243,,,No,no,YES Contact practice for appointment availability,YES,,N/A - Data not available,,,N/A - Data not available,,,
The Vauxhall Surgery,G85102,GPB,8 Jonathan Street,,,London,Greater London,SE11 5NH,Tel: 02077351971,9 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85102,,,3849 patients,3849,,,Yes,yes,YES Contact practice for appointment availability,YES,,37.55% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,37.55%,yes,35.95% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,35.95%,yes,no
Dr Tahalani And Partners,F84041,GPB,101-103 Southgate Road,Islington,,London,Greater London,N1 3JS,Tel: 02077042233,5 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84041,,,7725 patients,7725,,,Yes,yes,YES Contact practice for appointment availability,YES,,53.58% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,53.58%,yes,52.63% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,52.63%,yes,no
Student Practice,F84123001,GPB,Geography Building,Queen Mary College,Bancroft Road,London,Greater London,E1 4DG,,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=151838,0,0,15083 patients,15083,,,Yes,yes,N/A - Data not available,,,41.12% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,41.12%,yes,41.01% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,41.01%,yes,
HARFORD HEALTH CENTRE,F84087,GPB,115 Harford Street,,,London,Greater London,E1 4FG,Tel: 02077901059,44 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84087,,,9658 patients,9658,,,Yes,yes,YES Contact practice for appointment availability,YES,,35.78% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,35.78%,yes,27.32% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.32%,yes,
Ridgmount Practice,F83043,GPB,8 Ridgmount Street,,,London,Greater London,WC1E 7AA,Tel: 02073876306,7 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83043,,,18902 patients,18902,,,Yes,yes,YES Contact practice for appointment availability,YES,,60.73% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,60.73%,yes,60.67% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,60.67%,yes,yes
The Group Practice At River Place,F83002,GPB,River Place,Essex Road,,London,Greater London,N1 2DE,Tel: 02077042832,13 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83002,,,10066 patients,10066,,,Yes,yes,YES Contact practice for appointment availability,YES,,20.82% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.82%,yes,19.00% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.00%,yes,yes
Maddock Way Surgery,G85082,GPB,10 Maddock Way,Cooks Road,,London,Greater London,SE17 3NH,Tel: 02077353644,4 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85082,,,3161 patients,3161,,,Yes,yes,YES Contact practice for appointment availability,YES,,35.31% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,35.31%,yes,34.92% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.92%,yes,
Great Chapel Street Medical Centre,E87772,GPB,13 Great Chapel Street,,,London,Greater London,W1F 8FL,Tel: 02074379360,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=39322,0,0,555 patients,555,,,Yes,yes,YES Contact practice for appointment availability,YES,,1.94% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,1.94%,yes,3.88% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,3.88%,yes,
