Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Care Quality Commission inspection ratings,Value  (Care Quality Commission inspection ratings),Banding Classification  (Care Quality Commission inspection ratings),Recommended by staff,Value  (Recommended by staff),Banding Classification  (Recommended by staff),Mortality rate (in hospital and up to 30 days after discharge),Value  (Mortality rate (in hospital and up to 30 days after discharge)),Banding Classification  (Mortality rate (in hospital and up to 30 days after discharge)),Food: Choice and Quality,Value  (Food: Choice and Quality),Banding Classification  (Food: Choice and Quality),Car parking (Is there car parking at this organisation?),A&E (A&E onsite Comparison),Disabled access (Disabled access),Induction loop (Induction loop in place)
Cranleigh Village Hospital,RA212,HOS,,6 High Street,Cranleigh,Surrey,,GU6 8AE,Tel: 01483782400,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RA212,,,Not yet rated,,doesnotapply,Among the best with a value of 80%,80,tick,Lower number of deaths than expected,0.782,tick,No relevant data available,,doesnotapply,,,,
The Chartwell Hospital,NYY01,HOS,1629 London Road,,,Leigh-On-Sea,Essex,SS9 2SQ,Tel: 01702 478885,13 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NYY01,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-1242265519,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,,
Pinehill Hospital,NVC15,HOS,,Benslow Lane,,Hitchin,Hertfordshire,SG4 9QZ,Tel: 01462 422822,13 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVC15,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128733068,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,91.61%,Tick,yes,,yes,no
Luton and Dunstable Hospital,RC971,HOS,,Lewsey Road,,Luton,Bedfordshire,LU4 0DZ,Tel: 01582 491166,217 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RC971,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RC971,2,cqc-good,Within expected range with a value of 72%,72,ok,Number of deaths within the expected range,1.022,ok,84.96% Among the best,84.96%,Tick,yes,,yes,yes
Frimley Park Hospital,RDU01,HOS,Portsmouth Road,,,Camberley,Surrey,GU16 7UJ,Tel: 01276 604604,199 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDU01,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/RDU01,1,cqc-outstanding,Within expected range with a value of 79%,79,ok,Number of deaths within the expected range,0.964,ok,92.55% Among the best,92.55%,Tick,yes,,yes,yes
Broadmoor Hospital,RKL51,HOS,,Kentigern Drive,,Crowthorne,Berkshire,RG45 7EG,Tel: 01344 773 111,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RKL51,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 56%,56,ok,Not available for independent or specialist hospitals,,doesnotapply,76.20% Within the middle range,76.20%,OK,yes,,yes,yes
KIMS Hospital,ADP02,HOS,Newnham Court Way,Weavering,,Maidstone,Kent,ME14 5FT,Tel: 01622 237 500,15 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=ADP02,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-1285831303,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,88.62% Among the best,88.62%,Tick,yes,,yes,yes
Horsham Hospital,RDR3L,HOS,Hurst Road,,,Horsham,West Sussex,RH12 2DR,Tel: 01403 227000,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDR3L,,,Not yet rated,,doesnotapply,Within expected range with a value of 78%,78,ok,Not available for independent or specialist hospitals,,doesnotapply,,95.55%,Tick,,,,
The Horder Centre ,NXM01,HOS,The Horder Centre,St. Johns Road,,Crowborough,East Sussex,TN6 1XP,Tel: 01892 665577,44 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NXM01,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,98.29%,Tick,yes,,yes,no
Milford Hospital,RA224,HOS,Tuesley Lane,,,Godalming,Surrey,GU7 1UF,,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RA224,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RA224,5,cqc-norating,Among the best with a value of 80%,80,tick,Lower number of deaths than expected,0.782,tick,No relevant data available,,doesnotapply,,,,
Crowborough War Memorial Hospital - Sussex Community NHS Foundation Trust,RDRCR,HOS,Southview Road,,,Crowborough,East Sussex,TN6 1HB,Tel: 01892 652284,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDRCR,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RDRC9,5,cqc-norating,Within expected range with a value of 78%,78,ok,Not available for independent or specialist hospitals,,doesnotapply,,85.80%,Tick,,,,
Southend Hospital,RAJ01,HOS,,Prittlewell Chase,,Westcliff-on-Sea,Essex,SS0 0RY,Tel: 01702 435555,167 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAJ01,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RAJ01,3,cqc-requiresimp,Within expected range with a value of 62%,62,ok,Number of deaths within the expected range,1.067,ok,91.01% Among the best,91.01%,Tick,yes,,yes,yes
Wokingham Hospital,RWXX1,HOS,,41 Barkham Road,,Wokingham,Berkshire,RG41 2XR,Tel: 0118 949 5000,6 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWXX1,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RWXX1,2,cqc-good,Within expected range with a value of 75%,75,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
Phoenix Hospital,RQ8PX,HOS,15-17 Fairfax Drive,,,Westcliff-on-Sea,Essex,SS0 9AG,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQ8PX,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.130,ok,No relevant data available,,doesnotapply,,,,
BMI Southend Private Hospital,NT490,HOS,,15-17 Fairfax Drive,,Westcliff-on-Sea,Essex,SS0 9AG,Tel: 01702 608908,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT490,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
Rochford Community Hospital,R1L10,HOS,Union Lane,,,Rochford,Essex,SS4 1RB,Tel: 01702 538000,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1L10,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/R1LZ9,5,cqc-norating,Within expected range with a value of 61%,61,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
"Nuffield Health, Haywards Heath Hospital",NT218,HOS,,Burrell Road,,Haywards Heath,,RH16 1UD,Tel: 0800 015 5020,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT218,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-115574517,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,97.44%,Tick,,,,
Spire Wellesley Hospital,NT313,HOS,Eastern Avenue,,,Southend-on-Sea,Essex,SS2 4XH,Tel: 01702 462944,6 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT313,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-129798487,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,83.64%,Tick,yes,,yes,yes
Paddocks Hospital,RXQ92,HOS,Aylesbury Road,Monks Risborough,,Princes Risborough,Buckinghamshire,HP27 0JS,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXQ92,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.984,ok,No relevant data available,,doesnotapply,,,,
Townlands Memorial Hospital - Oxford Health NHS Foundation Trust ,RNUFF,HOS,,York Road,,Henley-on-Thames,Oxfordshire,RG9 2DR,Tel: 01865 903709,36 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RNUFF,,,Not yet rated,,doesnotapply,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Sussex Orthopaedic Treatment Centre,RXH60,HOS,Brighton & Sussex Uni Hosp Trust,Princess Royal Hospital,Lewes Road,Haywards Heath,West Sussex,RH16 4EY,,11 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXH60,,,Not yet rated,,doesnotapply,Within expected range with a value of 58%,58,ok,Number of deaths within the expected range,0.990,ok,,91.91%,Tick,,,,
St Peter's Hospital,RQ8LJ,HOS,,Spital Road,,Maldon,Essex,CM9 6EG,Tel: 01621 725323,15 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQ8LJ,,,Not yet rated,,doesnotapply,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.130,ok,91.75% Among the best,91.75%,Tick,yes,,yes,no
Princess Royal Hospital,RXH09,HOS,Lewes Road,,,Haywards Heath,West Sussex,RH16 4EX,Tel: 01444 441881,74 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXH09,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RXH09,2,cqc-good,Within expected range with a value of 58%,58,ok,Number of deaths within the expected range,0.990,ok,95.22% Among the best,95.22%,Tick,yes,,yes,no
Chalkhill,RX2X4,HOS,Chalkhill,Based on the Princess Royal Hospital site,Lewes Road,Haywards Heath,West Sussex,RH16 4NQ,Tel: 01444 472670,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RX2X4,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RX2X4,5,cqc-norating,Within expected range with a value of 57%,57,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,yes,Data not available
Farnham Hospital & Centre For Health,DJQ1L,HOS,Hale Road,,,Farnham,Surrey,GU9 9QL,,5 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=DJQ1L,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Fleet Community Hospital,RW11J,HOS,Church Road,,,Fleet,Hampshire,GU51 4LZ,Tel: 01252 813800,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RW11J,,,Not yet rated,,doesnotapply,Within expected range with a value of 63%,63,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Stoke Mandeville Hospital,RXQ02,HOS,,Mandeville Road,Aylesbury,Buckinghamshire,,HP21 8AL,Tel: 01296 315000,212 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXQ02,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RXQ02,2,cqc-good,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.984,ok,87.50% Among the best,87.50%,Tick,yes,,yes,no
Royston Hospital,RGT49,HOS,London Road,,,Royston,Hertfordshire,SG8 9EN,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RGT49,0,0,Not yet rated,,doesnotapply,Among the best with a value of 84%,84,tick,Lower number of deaths than expected,0.840,tick,No relevant data available,,doesnotapply,,,,
William Julien Courtauld Hospital,RQ8LK,HOS,,London Road,,Braintree,Essex,CM7 2LJ,Tel: 01245 443673,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQ8LK,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.130,ok,No relevant data available,,doesnotapply,yes,,yes,no
St Michael's Hospital,RQ8LF,HOS,,Rayne Road,,Braintree,Essex,CM7 2QU,Tel: 01245 362000,9 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQ8LF,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RQ8LF,5,cqc-norating,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.130,ok,No relevant data available,,doesnotapply,yes,,yes,no
Braintree Community Hospital,RQ8RR,HOS,Braintree Community Hospital,Chadwick Drive,,Braintree,Essex,CM7 2AL,Tel: 01376 555900,42 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQ8RR,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RQ8RR,2,cqc-good,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,1.130,ok,No relevant data available,,doesnotapply,,,,
Whiteleaf Centre,RNUGP,HOS,Bierton Road,,,Aylesbury,Buckinghamshire,HP20 1EG,Tel: 01865 902000,21 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RNUGP,,,Not yet rated,,doesnotapply,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,,97.35%,Tick,,,,
Sittingbourne Memorial Hospital,RYYC8,HOS,Bell Road,,,Sittingbourne,Kent,ME10 4DT,Tel: 01795 418300,33 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYYC8,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RYYC8,5,cqc-norating,Within expected range with a value of 72%,72,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Royal Berkshire Hospital,RHW01,HOS,London Road,Craven Road,,Reading,Berkshire,RG1 5AN,Tel: 0118 322 5111,282 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RHW01,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/RHW01,1,cqc-outstanding,Within expected range with a value of 77%,77,ok,Number of deaths within the expected range,1.100,ok,97.61% Among the best,97.61%,Tick,yes,,yes,yes
The Royal Buckinghamshire Hospital Ltd,DJH01,HOS,Buckingham Road,,,Aylesbury,Buckinghamshire,HP19 9AB,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=DJH01,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Priory Hospital Ticehurst ,NTN05,HOS,,Ticehurst,,Wadhurst,East Sussex,TN5 7HU,Tel: 01580 200 391,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTN05,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-127132351,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,Data not available
Saffron Walden Community Hospital,RGT50,HOS,Radwinter Road,,,Saffron Walden,Essex,CB11 3HY,,5 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RGT50,,,Not yet rated,,doesnotapply,Among the best with a value of 84%,84,tick,Lower number of deaths than expected,0.840,tick,No relevant data available,,doesnotapply,,,,
Spire Clare Park Hospital,NT345,HOS,Crondall Lane,,,Farnham,Surrey,GU10 5XX,Tel: 01252 850216,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT345,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,93.49%,Tick,yes,,yes,yes
Sheppey Community Hospital,RYYC7,HOS,Plover Road,Minster On Sea,,Sheerness,Kent,ME12 3LT,Tel: 01795 879100,15 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYYC7,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RYYC7,5,cqc-norating,Within expected range with a value of 72%,72,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Dmc Community Dermatology Service - Swale CCG (Sheppey Community Hospital),NCNDC,HOS,Sheppey Community Hospital,Plover Road,Minster-on-Sea,Sheerness,Kent,ME12 3LT,Tel: 02076351012,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NCNDC,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Uckfield Hospital,RXC18,HOS,Framfield Road,,,Uckfield,East Sussex,TN22 5AW,,6 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXC18,,,Not yet rated,,doesnotapply,Within expected range with a value of 65%,65,ok,Number of deaths within the expected range,1.097,ok,No relevant data available,,doesnotapply,,,,
Circle Reading Hospital,NV323,HOS,,100 Drake Way,,Reading,,RG2 0NE,Tel: 01189 226 888,38 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NV323,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-445725083,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
Spire Dunedin Hospital,NT344,HOS,16 Bath Road,,,Reading,Berkshire,RG1 6NS,Tel: 0118 9587676,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT344,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/1-2745284068,5,cqc-norating,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,96.31%,Tick,yes,,yes,yes
Steppingley Hospital,RWK4R,HOS,Ampthill Road,Steppingley,,Bedford,Bedfordshire,MK45 1AB,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWK4R,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
The Berkshire Independent Hospital,NVC02,HOS,Swallowscroft,Wensley Road,,Reading,Berkshire,RG1 6UZ,Tel: 0118 902 8000,16 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NVC02,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128733141,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
Kneesworth House,NMV01,HOS,Old North Road,Bassingbourn,,Royston,,SG8 5JP,Tel: 01763 255 700,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NMV01,0,0,Inadequate Visit CQC profile - http://www.cqc.org.uk/location/1-129389215,4,cqc-inadequate,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Haslemere Hospital ,NQT95,HOS,,Church Lane,,Haslemere,Surrey,GU27 2BJ,Tel: 01483 782300,14 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NQT95,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Heathfield,NTN04,HOS,Tottingworth Park,Broad Oak,,Heathfield,East Sussex,TN21 8UN,Tel: 01435 864 545,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NTN04,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,no
Prospect Park Hospital,RWX51,HOS,Honey End Lane,Tilehurst,,Reading,Berkshire,RG30 4EJ,Tel: 0118 960 5000,17 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWX51,,,Not yet rated,,doesnotapply,Within expected range with a value of 75%,75,ok,Not available for independent or specialist hospitals,,doesnotapply,97.04% Among the best,97.04%,Tick,yes,,yes,yes
Hawkhurst Hospital,RYYD6,HOS,Hawkhurst Community Hospital,High Street,Hawkhurst,Cranbrook,Kent,TN18 4PU,Tel: 01580 753345,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYYD6,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 72%,72,ok,Not available for independent or specialist hospitals,,doesnotapply,85.24% Among the best,85.24%,Tick,yes,,yes,no
Odiham Cottage Hospital,RW11F,HOS,Buryfields,Odiham,,Hook,Hampshire,RG29 1NE,Tel: 01256 393600,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RW11F,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 63%,63,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Thame Community Hospital,RXQ62,HOS,,East Street,,Thame,,OX9 3JT,Tel: 01844 212727,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXQ62,0,0,No rating Visit CQC profile - http://www.cqc.org.uk/location/RXQ62,5,cqc-norating,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,0.984,ok,No relevant data available,,doesnotapply,,,,
Benenden Hospital,NWF01,HOS,Goddards Green Road,Benenden,,Cranbrook,Kent,TN17 4AX,Tel: 01580 240333,22 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NWF01,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/1-118024670,1,cqc-outstanding,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,no
Halstead Hospital,RDEEK,HOS,78 Hedingham Road,,,Halstead,Essex,CO9 2DL,Tel: 01787 291022,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDEEK,,,Not yet rated,,doesnotapply,Within expected range with a value of 62%,62,ok,Number of deaths within the expected range,1.097,ok,No relevant data available,,doesnotapply,yes,,yes,no
Chase Community Hospital,R1CG1,HOS,Conde Way,,,Bordon,Hampshire,GU35 0YZ,,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1CG1,,,Not yet rated,,doesnotapply,Within expected range with a value of 76%,76,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Lewes Victoria Hospital,RXCLV,HOS,Nevill Road,,,Lewes,East Sussex,BN7 1PE,Tel: 01273 474153,19 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RXCLV,,,Not yet rated,,doesnotapply,Within expected range with a value of 65%,65,ok,Number of deaths within the expected range,1.097,ok,No relevant data available,,doesnotapply,,,,
Faversham Cottage Hospital,RYYAL,HOS,Stone Street,,,Faversham,Kent,ME13 8PS,Tel: 01795 562068,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYYAL,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RYYAL,5,cqc-norating,Within expected range with a value of 72%,72,ok,Not available for independent or specialist hospitals,,doesnotapply,83.16% Among the best,83.16%,Tick,,,,
Milton Keynes Hospital,RD816,HOS,Standing Way,,,Milton Keynes,Buckinghamshire,MK6 5LD,Tel: 01908 660033,198 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RD816,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RD816,2,cqc-good,Within expected range with a value of 66%,66,ok,Number of deaths within the expected range,1.064,ok,81.09% Among the best,81.09%,Tick,yes,,yes,yes
Wallingford Community Hospital,RNUDJ,HOS,Reading Road,,,Wallingford,Oxfordshire,OX10 9DU,,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RNUDJ,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RNUDJ,5,cqc-norating,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,,86.67%,Tick,,,,
BMI The Saxon Clinic,NT434,HOS,Chadwick Drive,Eaglestone West,,Milton Keynes,Buckinghamshire,MK6 5LR,Tel: 01908 665533,16 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT434,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-128767232,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,yes,,yes,yes
The Hellingly Centre,RX2E9,HOS,The Drive,,,Hailsham,,BN27 4EP,Tel: 01323 440022,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RX2E9,0,0,No rating Visit CQC profile - http://www.cqc.org.uk/location/RX2E9,5,cqc-norating,Within expected range with a value of 57%,57,ok,Not available for independent or specialist hospitals,,doesnotapply,90.95% Among the best,90.95%,Tick,yes,,yes,Data not available
Midhurst Community Hospital,RDR2F,HOS,Dodsley Lane,Easebourne,,Midhurst,West Sussex,GU29 9AW,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RDR2F,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 78%,78,ok,Not available for independent or specialist hospitals,,doesnotapply,,96.34%,Tick,,,,
Bedford Hospital South Wing,RC110,HOS,South Wing,Kempston Road,,Bedford,Bedfordshire,MK42 9DJ,Tel: 01234 355 122,224 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RC110,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RC110,3,cqc-requiresimp,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,1.121,ok,96.57% Among the best,96.57%,Tick,yes,,yes,yes
Amberstone Hospital,RX2F3,HOS,Carters Corner,Amberstone Hospital,,Hailsham,East Sussex,BN27 4HU,Tel: 01323 440022,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RX2F3,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 57%,57,ok,Not available for independent or specialist hospitals,,doesnotapply,89.20% Among the best,89.20%,Tick,yes,,no,no
Bedford Hospital North Wing,RC111,HOS,32-34 Kimbolton Road,,,Bedford,Bedfordshire,MK40 2NS,Tel: 01234 355 122,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RC111,,,Not yet rated,,doesnotapply,Within expected range with a value of 67%,67,ok,Number of deaths within the expected range,1.121,ok,No relevant data available,,doesnotapply,yes,,,
Mill View Hospital,RX213,HOS,,Nevill Avenue,,Hove,,BN3 7HY,Tel: 01273 621984,11 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RX213,,,Not yet rated,,doesnotapply,Within expected range with a value of 57%,57,ok,Not available for independent or specialist hospitals,,doesnotapply,81.64% Among the best,81.64%,Tick,yes,,yes,yes
Royal Papworth Hospital,RGM21,HOS,Royal Papworth Hospital,Cambridge Biomedical Campus,Papworth Road,Cambridge,Cambridgeshire,CB2 0AY,Tel: 01223 638000,36 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RGM21,,,Not yet rated,,doesnotapply,Among the best with a value of 86%,86,tick,Not available for independent or specialist hospitals,,doesnotapply,94.56% Among the best,94.56%,Tick,yes,,yes,yes
